mp-ID,Formula,SynthNN_score
mp-3552,Li2Si2O5,0.9798323
mp-3557,Eu(CuGe)2,0.35039666
mp-3563,Ba5Nb4O15,0.9891671
mp-3564,BaSc2O4,0.9909513
mp-3566,Ce(SiRu)2,0.43578112
mp-3569,Nd(Sb3Os)4,0.9054863
mp-3575,Ca3(BO3)2,0.002502422
mp-3579,UGeSe,0.00936123
mp-3581,Ta4MnS8,0.04159292
mp-3583,U2AsN2,0.002862487
mp-3584,NdPO4,0.94660604
mp-3589,BPO4,0.9607809
mp-3592,KAuS5,0.15530246
mp-3594,Gd3GaO6,0.9409862
mp-3598,BaRuO3,0.9719795
mp-3601,BaUS3,0.87077695
mp-3603,Ce3(BN2)2,0.007385641
mp-3618,Sc2FeSi2,0.6628441
mp-3622,Na2PdF4,0.928313
mp-3626,SrZrO3,0.98744744
mp-3627,Eu(Mo3S4)2,0.7625526
mp-3629,Y2(WO4)3,0.004784761
mp-3633,Er(Al2Fe)4,0.11505119
mp-3638,Cu2P2O7,0.9510885
mp-3640,Nb6Si7Ni16,0.3983309
mp-3652,Ta9(FeS3)2,0.030532964
mp-3660,LiB3O5,0.9732851
mp-3663,Ta4GaSe8,0.39695594
mp-3667,P2S2O3,0.080767974
mp-3669,Mn(NbS2)4,0.1168426
mp-3671,NaNbO3,0.98867214
mp-3680,Er2Fe14B,0.96455085
mp-3688,Er2Sn2O7,0.9782736
mp-3689,NdCo4B,0.95324135
mp-3694,NdPS4,0.9224869
mp-3696,UNb3O10,0.9941806
mp-3700,LiYF4,0.9524278
mp-3704,Cs2Mn3Se4,0.9067326
mp-3706,Ho2Co12P7,0.8809664
mp-3708,Tl(FeTe)3,0.006429461
mp-3719,Rb3NbS4,0.91331816
mp-3727,Nd3NbO7,0.9664356
mp-3731,LiNbO3,0.9941223
mp-3735,GdPO4,0.98531413
mp-3758,Eu(NiP)2,0.07775424
mp-3759,MgGeO3,0.8867172
mp-3768,KN3O4,0.011430113
mp-3771,MgTiO3,0.9916956
