,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
24329,mp-776922,106,72,O,0.7540671423466443,0.21519722547559855
24330,mp-776933,-1,24875,Li,0.8468198764613707,0.0
24331,mp-776951,-1,24875,Mn,0.8468198764613707,0.0
24332,mp-776952,-1,24875,O,0.8468198764613707,0.0
24333,mp-776955,-1,24875,O,0.8468198764613707,0.0
24334,mp-776957,-1,24875,O,0.8468198764613707,0.0
24335,mp-776961,-1,24875,Ni,0.8468198764613707,0.0
24336,mp-776965,-1,24875,O,0.8468198764613707,0.0
24337,mp-776966,-1,24875,N,0.8468198764613707,0.0
24338,mp-776975,-1,24875,Nb,0.8468198764613707,0.0
24339,mp-776976,133,63,Co,0.15022962345276358,0.9727706119309669
24340,mp-776978,8,113,Mn,0.5414744247704544,0.652350050693912
24341,mp-776979,-1,24875,Co,0.8468198764613707,0.0
24342,mp-776983,134,140,V,0.20563786639491222,0.7964534009232309
24343,mp-776984,156,146,O,0.423239754486608,0.7968210536102652
24344,mp-776991,-1,24875,Fe,0.8468198764613707,0.0
24345,mp-776992,-1,24875,Li,0.8468198764613707,0.0
24346,mp-777010,26,66,Li,0.7290418659203914,1.0
24347,mp-777019,-1,24875,S,0.8468198764613707,0.0
24348,mp-777041,8,113,Co,0.5414744247704544,0.7497009984239658
24349,mp-777048,-1,24875,O,0.8468198764613707,0.0
24350,mp-777049,46,85,Fe,0.44910243420100526,0.47970743789675885
24351,mp-777051,-1,24875,V,0.8468198764613707,0.0
24352,mp-777054,134,140,V,0.20563786639491222,0.7762154840035209
24353,mp-777063,-1,24875,Li,0.8468198764613707,0.0
24354,mp-777065,158,177,O,0.3038163900446188,1.0
24355,mp-777071,-1,24875,O,0.8468198764613707,0.0
24356,mp-777082,162,141,O,0.13336993423093385,0.8199919885810405
24357,mp-777129,-1,24875,O,0.8468198764613707,0.0
24358,mp-777144,102,63,Cu,0.30374029304686306,0.33650928227260335
24359,mp-777151,-1,24875,F,0.8468198764613707,0.0
24360,mp-777181,61,54,Ti,0.4951498870453423,1.0
24361,mp-777185,61,54,V,0.4951498870453423,0.496405794138432
24362,mp-777187,-1,24875,Fe,0.8468198764613707,0.0
